Numer elementu / Lokalny numer wezla / Globalny numer wezla / (x,y)
(98, 1, 100, (-7.5, -45.0))
(98, 2, 101, (-5.0, -45.0))
(98, 3, 141, (-7.5, -42.5))
(98, 4, 142, (-5.0, -42.5))
(99, 1, 101, (-5.0, -45.0))
(99, 2, 102, (-2.5, -45.0))
(99, 3, 142, (-5.0, -42.5))
(99, 4, 143, (-2.5, -42.5))
(100, 1, 102, (-2.5, -45.0))
(100, 2, 103, (0.0, -45.0))
(100, 3, 143, (-2.5, -42.5))
(100, 4, 144, (0.0, -42.5))
(101, 1, 103, (0.0, -45.0))
(101, 2, 104, (2.5, -45.0))
(101, 3, 144, (0.0, -42.5))
(101, 4, 145, (2.5, -42.5))
(102, 1, 104, (2.5, -45.0))
(102, 2, 105, (5.0, -45.0))
(102, 3, 145, (2.5, -42.5))
(102, 4, 146, (5.0, -42.5))
(103, 1, 105, (5.0, -45.0))
(103, 2, 106, (7.5, -45.0))
(103, 3, 146, (5.0, -42.5))
(103, 4, 147, (7.5, -42.5))
(104, 1, 106, (7.5, -45.0))
(104, 2, 107, (10.0, -45.0))
(104, 3, 147, (7.5, -42.5))
(104, 4, 148, (10.0, -42.5))
(105, 1, 107, (10.0, -45.0))
(105, 2, 108, (12.5, -45.0))
(105, 3, 148, (10.0, -42.5))
(105, 4, 149, (12.5, -42.5))
(106, 1, 108, (12.5, -45.0))
(106, 2, 109, (15.0, -45.0))
(106, 3, 149, (12.5, -42.5))
(106, 4, 150, (15.0, -42.5))
(107, 1, 109, (15.0, -45.0))
(107, 2, 110, (17.5, -45.0))
(107, 3, 150, (15.0, -42.5))
(107, 4, 151, (17.5, -42.5))
(108, 1, 110, (17.5, -45.0))
(108, 2, 111, (20.0, -45.0))
(108, 3, 151, (17.5, -42.5))
(108, 4, 152, (20.0, -42.5))
(109, 1, 111, (20.0, -45.0))
(109, 2, 112, (22.5, -45.0))
(109, 3, 152, (20.0, -42.5))
(109, 4, 153, (22.5, -42.5))
(110, 1, 112, (22.5, -45.0))
(110, 2, 113, (25.0, -45.0))
(110, 3, 153, (22.5, -42.5))
(110, 4, 154, (25.0, -42.5))
(111, 1, 113, (25.0, -45.0))
(111, 2, 114, (27.5, -45.0))
(111, 3, 154, (25.0, -42.5))
(111, 4, 155, (27.5, -42.5))
(112, 1, 114, (27.5, -45.0))
(112, 2, 115, (30.0, -45.0))
(112, 3, 155, (27.5, -42.5))
(112, 4, 156, (30.0, -42.5))
(113, 1, 115, (30.0, -45.0))
(113, 2, 116, (32.5, -45.0))
(113, 3, 156, (30.0, -42.5))
(113, 4, 157, (32.5, -42.5))
(114, 1, 116, (32.5, -45.0))
(114, 2, 117, (35.0, -45.0))
(114, 3, 157, (32.5, -42.5))
(114, 4, 158, (35.0, -42.5))
(115, 1, 117, (35.0, -45.0))
(115, 2, 118, (37.5, -45.0))
(115, 3, 158, (35.0, -42.5))
(115, 4, 159, (37.5, -42.5))
(116, 1, 118, (37.5, -45.0))
(116, 2, 119, (40.0, -45.0))
(116, 3, 159, (37.5, -42.5))
(116, 4, 160, (40.0, -42.5))
(117, 1, 119, (40.0, -45.0))
(117, 2, 120, (42.5, -45.0))
